

         MODEL DEFAULTS
         --------------

Model Name:         SigCake2
Model Description:  
Output File:        UNTITLED.OUT
Output Plot Style:  NOAUTO_FIT
Run Mode:           HI_SPEED
Trace Vars:         QTYPE,Q[TYPE],OPTIME[3],OPTIME[2],INDEX,TYPE,SUPPLY[1;1
Random Number Seed: 12346
Initial Values:     8,4,4,4,120,360,30,30,30,30,.4,.4,.2,.1,.3,.3,.3,.1,.3,.3,.3,.1,.3,.3,.3
Ending Condition:   STOP_ON_TIME
Ending Time:        20000.000
Trace Events:       ALL EVENTS TRACED
Hide Edges:         



 Time        Event       Count       QTYPE       Q[TYPE]     OPTIME[3]   OPTIME[2]   INDEX       TYPE        SUPPLY[1;1 
 172.978     SUP         35          0           0           1           480         2           3           45          
 172.978     START_S     35          0           0           1           480         2           3           45          
 173.748     ARRIVE      9           0           0           1           480         2           3           45          
 173.748     SUP         36          0           0           1           480         0           3           45          
 173.748     START_S     36          0           0           1           480         0           3           45          
 175.373     FINISH      33          0           0           1           480         0           1           45          
 175.373     CHECK_S     31          0           0           1           480         1           1           45          
 175.373     SUP         37          0           0           1           480         1           1           45          
 175.373     START_S     37          0           0           1           480         1           1           45          
 176.603     FINISH      34          0           0           1           480         4           2           45          
 176.603     LEAVE       6           0           0           1           480         4           2           45          
 177.346     FINISH      35          0           0           1           480         1           2           45          
 177.346     CHECK_S     32          0           0           1           480         2           2           45          
 177.346     SUP         38          0           0           1           480         2           2           45          
 177.346     START_S     38          0           0           1           480         2           2           45          
 177.511     ARRIVE      10          0           0           1           480         2           2           45          
 177.511     SUP         39          0           0           1           480         0           2           45          
 177.511     START_S     39          0           0           1           480         0           2           45          
 180.394     FINISH      36          0           0           1           480         2           1           45          
 180.394     CHECK_S     33          0           0           1           480         3           1           45          
 180.394     SUP         40          0           0           1           480         3           1           45          
 180.394     START_S     40          0           0           1           480         3           1           45          
 180.493     FINISH      37          0           0           1           480         0           1           45          
 180.493     CHECK_S     34          0           0           1           480         1           1           45          
 180.493     SUP         41          0           0           1           480         1           1           45          
 180.493     START_S     41          0           0           1           480         1           1           45          
 181.059     FINISH      38          0           0           1           480         4           1           45          
 181.059     LEAVE       7           0           0           1           480         4           1           45          
 181.124     ARRIVE      11          0           0           1           480         4           1           45          
 181.124     SUP         42          0           0           1           480         0           1           45          
 181.124     START_S     42          0           0           1           480         0           1           45          
 182.287     FINISH      39          0           0           1           480         0           1           45          
 182.287     CHECK_S     35          0           0           1           480         1           1           45          
 182.287     SUP         43          0           0           1           480         1           1           45          
 182.287     START_S     43          0           0           1           480         1           1           45          
 183.712     FINISH      40          0           0           1           480         1           2           45          
 183.712     CHECK_S     36          0           0           1           480         2           2           45          
 183.712     SUP         44          0           0           1           480         2           2           45          
 183.712     START_S     44          0           0           1           480         2           2           45          
 185.012     FINISH      41          0           0           1           480         1           3           45          
 185.012     CHECK_S     37          0           0           1           480         2           3           45          
 185.012     CHECK_S     38          0           0           1           480         3           3           45          
 185.012     SUP         45          0           0           1           480         3           3           45          
 185.012     START_S     45          0           0           1           480         3           3           45          
 185.165     FINISH      42          0           0           1           480         3           1           45          
 185.165     CHECK_S     39          0           0           1           480         4           1           45          
 185.165     SUP         46          0           0           1           480         4           1           45          
 185.165     START_S     46          0           0           1           480         4           1           45          
 186.634     ARRIVE      12          0           0           1           480         4           1           45          
 186.634     SUP         47          0           0           1           480         0           1           45          
 186.634     START_S     47          0           0           1           480         0           1           45          
 187.979     FINISH      43          0           0           1           480         2           3           45          
 187.979     CHECK_S     40          0           0           1           480         3           3           45          
 187.979     SUP         48          0           0           1           480         3           3           45          
 187.979     START_S     48          0           0           1           480         3           3           45          
 189.252     FINISH      44          0           0           1           480         0           1           45          
 189.252     CHECK_S     41          0           0           1           480         1           1           45          
 189.252     SUP         49          0           0           1           480         1           1           45          
 189.252     START_S     49          0           0           1           480         1           1           45          
 189.692     FINISH      45          0           0           1           480         4           2           45          
 189.692     LEAVE       8           0           0           1           480         4           2           45          
 191.719     FINISH      46          0           0           1           480         1           3           45          
 191.719     CHECK_S     42          0           0           1           480         2           3           45          
 191.719     SUP         50          0           0           1           480         2           3           45          
 191.719     START_S     50          0           0           1           480         2           3           45          
 192.391     FINISH      47          0           0           1           480         3           3           45          
 192.391     CHECK_S     43          0           0           1           480         4           3           45          
 192.391     SUP         51          0           0           1           480         4           3           45          
 192.391     START_S     51          0           0           1           480         4           3           45          
 193.306     ARRIVE      13          0           0           1           480         4           3           45          
 193.306     SUP         52          0           0           1           480         0           3           45          
 193.306     START_S     52          0           0           1           480         0           3           45          
 193.311     FINISH      48          0           0           1           480         2           2           45          
 193.311     CHECK_S     44          0           0           1           480         3           2           45          
 193.311     SUP         53          0           0           1           480         3           2           45          
 193.311     START_S     53          0           0           1           480         3           2           45          
 194.709     FINISH      49          0           0           1           480         2           1           45          
 194.709     CHECK_S     45          0           0           1           480         3           1           45          
 194.709     SUP         54          0           0           1           480         3           1           45          
 194.709     START_S     54          0           0           1           480         3           1           45          
 194.992     FINISH      50          0           0           1           480         0           1           45          
 194.992     CHECK_S     46          0           0           1           480         1           1           45          
 194.992     SUP         55          0           0           1           480         1           1           45          
 194.992     START_S     55          0           0           1           480         1           1           45          
 195.139     FINISH      51          0           0           1           480         4           2           45          
 195.139     LEAVE       9           0           0           1           480         4           2           45          
 195.968     FINISH      52          0           0           1           480         3           3           45          
 195.968     CHECK_S     47          0           0           1           480         4           3           45          
 195.968     SUP         56          0           0           1           480         4           3           45          
 195.968     START_S     56          0           0           1           480         4           3           45          
 197.056     FINISH      53          0           0           1           480         1           3           45          
 197.056     CHECK_S     48          0           0           1           480         2           3           45          
 197.056     SUP         57          0           0           1           480         2           3           45          
 197.056     START_S     57          0           0           1           480         2           3           45          
 197.056     RESTK       1           0           0           1           480         1           3           45          
 197.374     ARRIVE      14          0           0           1           480         1           3           45          
 197.374     SUP         58          0           0           1           480         0           3           45          
 197.374     START_S     58          0           0           1           480         0           3           45          
 198.532     FINISH      54          0           0           1           480         0           1           45          
 198.532     CHECK_S     49          0           0           1           480         1           1           45          
 198.532     SUP         59          0           0           1           480         1           1           45          
 198.532     START_S     59          0           0           1           480         1           1           45          
 199.583     FINISH      55          0           0           1           480         3           2           45          
 199.583     CHECK_S     50          0           0           1           480         4           2           45          
 199.583     SUP         60          0           0           1           480         4           2           45          
 199.583     START_S     60          0           0           1           480         4           2           45          
 199.996     ARRIVE      15          0           0           1           480         4           2           45          
 199.996     SUP         61          0           0           1           480         0           2           45          
 199.996     START_S     61          0           0           1           480         0           2           45          
 202.948     FINISH      56          0           0           1           480         0           1           45          
 202.948     CHECK_S     51          0           0           1           480         1           1           45          
 202.948     SUP         62          0           0           1           480         1           1           45          
 202.948     START_S     62          0           0           1           480         1           1           45          
 203.071     FINISH      57          0           0           1           480         1           2           45          
 203.071     CHECK_S     52          0           0           1           480         2           2           45          
 203.071     SUP         63          0           0           1           480         2           2           45          
 203.071     START_S     63          0           0           1           480         2           2           45          
 205.178     FINISH      58          0           0           1           480         2           3           45          
 205.178     CHECK_S     53          0           0           1           480         3           3           45          
 205.178     SUP         64          0           0           1           480         3           3           45          
 205.178     START_S     64          0           0           1           480         3           3           45          
 206.205     FINISH      59          0           0           1           480         1           3           45          
 206.205     CHECK_S     54          0           0           1           480         2           3           45          
 206.205     SUP         65          0           0           1           480         2           3           45          
 206.205     START_S     65          0           0           1           480         2           3           45          
 206.835     FINISH      60          0           0           1           480         4           3           45          
 206.835     LEAVE       10          0           0           1           480         4           3           45          
 207.071     FINISH      61          0           0           1           480         4           3           45          
 207.071     LEAVE       11          0           0           1           480         4           3           45          
 207.121     ARRIVE      16          0           0           1           480         4           3           45          
 207.121     SUP         66          0           0           1           480         0           3           45          
 207.121     START_S     66          0           0           1           480         0           3           45          
 208.432     FINISH      62          0           0           1           480         3           2           45          
 208.432     CHECK_S     55          0           0           1           480         4           2           45          
 208.432     SUP         67          0           0           1           480         4           2           45          
 208.432     START_S     67          0           0           1           480         4           2           45          
 208.778     FINISH      63          0           0           1           480         0           1           45          
 208.778     CHECK_S     56          0           0           1           480         1           1           45          
 208.778     SUP         68          0           0           1           480         1           1           45          
 208.778     START_S     68          0           0           1           480         1           1           44          
 208.994     FINISH      64          0           0           1           480         2           2           44          
 208.994     CHECK_S     57          0           0           1           480         3           2           44          
 208.994     SUP         69          0           0           1           480         3           2           44          
 208.994     START_S     69          0           0           1           480         3           2           44          
 209.027     FINISH      65          0           0           1           480         1           1           44          
 209.027     CHECK_S     58          0           0           1           480         2           1           44          
 209.027     SUP         70          0           0           1           480         2           1           44          
 209.027     START_S     70          0           0           1           480         2           1           44          
 210.115     FINISH      66          0           0           1           480         2           3           44          
 210.115     CHECK_S     59          0           0           1           480         3           3           44          
 210.115     SUP         71          0           0           1           480         3           3           44          
 210.115     START_S     71          0           0           1           480         3           3           44          
 211.622     FINISH      67          0           0           1           480         3           3           44          
 211.622     CHECK_S     60          0           0           1           480         4           3           44          
 211.622     SUP         72          0           0           1           480         4           3           44          
 211.622     START_S     72          0           0           1           480         4           3           44          
 212.376     ARRIVE      17          0           0           1           480         4           3           44          
 212.376     SUP         73          0           0           1           480         0           3           44          
 212.376     START_S     73          0           0           1           480         0           3           44          
 213.209     FINISH      68          0           0           1           480         4           3           44          
 213.209     LEAVE       12          0           0           1           480         4           3           44          
 213.484     AVAIL_W     1           0           0           1           480         4           3           44          
 213.868     FINISH      69          0           0           1           480         0           1           44          
 213.868     CHECK_S     61          0           0           1           480         1           1           44          
 213.868     SUP         74          0           0           1           480         1           1           44          
 213.868     START_S     74          0           0           1           480         1           1           44          
 214.861     FINISH      70          0           0           1           480         1           2           44          
 214.861     CHECK_S     62          0           0           1           480         2           2           44          
 214.861     SUP         75          0           0           1           480         2           2           44          
 214.861     START_S     75          0           0           1           480         2           2           44          
 215.522     FINISH      71          0           0           1           480         3           2           44          
 215.522     CHECK_S     63          0           0           1           480         4           2           44          
 215.522     SUP         76          0           0           1           480         4           2           44          
 215.522     START_S     76          0           0           1           480         4           2           44          
 215.948     FINISH      72          0           0           1           480         2           1           44          
 215.948     CHECK_S     64          0           0           1           480         3           1           44          
 215.948     SUP         77          0           0           1           480         3           1           44          
 215.948     START_S     77          0           0           1           480         3           1           44          
 217.252     FINISH      73          0           0           1           480         4           2           44          
 217.252     LEAVE       13          0           0           1           480         4           2           44          
 217.252     RESTK       2           0           0           1           480         4           2           44          
 217.657     ARRIVE      18          0           0           1           480         4           2           44          
 217.657     SUP         78          0           0           1           480         0           2           44          
 217.657     START_S     78          0           0           1           480         0           2           44          
 219.008     FINISH      74          0           0           1           480         0           1           44          
 219.008     CHECK_S     65          0           0           1           480         1           1           44          
 219.008     SUP         79          0           0           1           480         1           1           44          
 219.008     START_S     79          0           0           1           480         1           1           44          
 219.112     ARRIVE      19          0           0           1           480         1           1           44          
 219.112     SUP         80          0           0           1           480         0           1           44          
 219.112     START_S     80          0           0           1           480         0           1           44          
 219.700     FINISH      75          0           0           1           480         4           2           44          
 219.700     LEAVE       14          0           0           1           480         4           2           44          
 219.712     FINISHR     1           30          0           1           480         4           2           44          
 220.826     FINISH      76          30          0           1           480         1           2           44          
 220.826     CHECK_S     66          30          0           1           480         2           2           44          
 220.826     SUP         81          30          0           1           480         2           2           44          
 220.826     START_S     81          30          0           1           480         2           2           44          
 221.696     FINISH      77          30          0           1           480         0           1           44          
 221.696     CHECK_S     67          30          0           1           480         1           1           44          
 221.696     SUP         82          30          0           1           480         1           1           44          
 221.696     START_S     82          30          0           1           480         1           1           44          
